final_key,job_number,issuer_name,service,cusip6,mt_date,ml_date,record_date,mgmt_rec,proposal,proposal_type,director_number,director_name,Category,Subcategory,Mini_Category,Mini_Subcategory,final_Category,final_Subcategory
"2025-04-17||007025||To authorize the adjournment of the Special Meeting if necessary or appropriate, including to solicit additional proxies in the event that there are not sufficient votes at the time of the Special Meeting or adjournment or postponement thereof to approve any of the foregoing proposals.||-1||-1",Z89366,"ADITXT, INC.",BN,7025,4/17/2025,1/31/2025,1/23/2025,F,"To authorize the adjournment of the Special Meeting if necessary or appropriate, including to solicit additional proxies in the event that there are not sufficient votes at the time of the Special Meeting or adjournment or postponement thereof to approve any of the foregoing proposals.",MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Shareholder Rights,Meeting Management,Shareholder Rights,Meeting Management
"2025-02-24||00791X||To authorize, for purposes of complying with NYSE American listing rule 711.05, the issuance of Warrants, shares of Common Stock underlying the Warrants and certain provisions of the Warrants, issued in connection with an offering and sale of securities of the Company that was consummated on January 7, 2025 (the ""Issuance Proposal"").||-1||-1",Z89286,"AEON BIOPHARMA, INC.",SH,00791X,2/24/2025,2/3/2025,1/13/2025,F,"To authorize, for purposes of complying with NYSE American listing rule 711.05, the issuance of Warrants, shares of Common Stock underlying the Warrants and certain provisions of the Warrants, issued in connection with an offering and sale of securities of the Company that was consummated on January 7, 2025 (the ""Issuance Proposal"").",MG,-1,-1,Shareholder Equity,,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Warrants/Bonds/Notes
"2025-04-30||00901B||To approve a series of alternate amendments to our Certificate of Incorporation to effect, at the option of our Board of Directors, a reverse stock split of our outstanding common stock at a ratio of up to 1-for-100, such ratio to be determined by our Board of Directors in its sole discretion. We refer to this proposal as the ""Reverse Stock Split Proposal"" or ""Proposal 1.""||-1||-1",S12000,AIM IMMUNOTECH INC.,BN,00901B,4/30/2025,4/10/2025,3/25/2025,F,"To approve a series of alternate amendments to our Certificate of Incorporation to effect, at the option of our Board of Directors, a reverse stock split of our outstanding common stock at a ratio of up to 1-for-100, such ratio to be determined by our Board of Directors in its sole discretion. We refer to this proposal as the ""Reverse Stock Split Proposal"" or ""Proposal 1.""",MG,-1,-1,Corporate Actions,Miscellaneous Shareholder Rights,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
2025-05-02||00912X||Advisory vote to approve named executive officer compensation||-1||-1,P27232,AIR LEASE CORPORATION,BN,00912X,5/2/2025,3/26/2025,3/7/2025,F,Advisory vote to approve named executive officer compensation,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-02-28||016230||Election of Director to serve until the 2026 Annual Meeting of Shareholders, and until their respective successors have been duly elected and qualified: Henry R. Slack||-1||-1",P22270,"ALICO, INC.",BN,16230,2/28/2025,1/21/2025,1/3/2025,F,"Election of Director to serve until the 2026 Annual Meeting of Shareholders, and until their respective successors have been duly elected and qualified: Henry R. Slack",MG,-1,-1,Board of Directors,Elections,Board of Directors,Elections,Board of Directors,Elections
2025-03-05||032332||To approve the advisory (non-binding) resolution relating to the named executive officer compensation as disclosed in the accompanying proxy statement.||-1||-1,P20476,"AMTECH SYSTEMS, INC.",BN,32332,3/5/2025,2/6/2025,1/13/2025,F,To approve the advisory (non-binding) resolution relating to the named executive officer compensation as disclosed in the accompanying proxy statement.,MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-03-20||03528H||To approve on a non-binding, advisory basis the compensation of our named executive officers.||-1||-1",P22298,"ANIXA BIOSCIENCES, INC.",BN,03528H,3/20/2025,2/11/2025,1/23/2025,F,"To approve on a non-binding, advisory basis the compensation of our named executive officers.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-02-28||03815U||Approval, in accordance with Nasdaq Listing Rule 5635(d), of the exercisability of certain common stock purchase warrants, and the issuance of the common stock underlying such warrants, which warrants were issued in connection with an offering of securities of the Company that occurred on October 30, 2024.||-1||-1",S01991,"APPLIED DNA SCIENCES, INC.",BN,03815U,2/28/2025,12/13/2024,11/25/2024,F,"Approval, in accordance with Nasdaq Listing Rule 5635(d), of the exercisability of certain common stock purchase warrants, and the issuance of the common stock underlying such warrants, which warrants were issued in connection with an offering of securities of the Company that occurred on October 30, 2024.",MG,-1,-1,Shareholder Equity,Acquisition Agreement,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Warrants/Bonds/Notes
"2024-12-30||05072K||To authorize, in accordance with Nasdaq Listing Rule 5635(d), the issuance of shares of our common stock pursuant to the Series B Preferred Issuance Proposal.||-1||-1",P20766,AUDDIA INC,BN,05072K,12/30/2024,12/2/2024,11/14/2024,F,"To authorize, in accordance with Nasdaq Listing Rule 5635(d), the issuance of shares of our common stock pursuant to the Series B Preferred Issuance Proposal.",MG,-1,-1,Corporate Actions,Spin Off,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Issuance
2024-12-30||05072K||Proposal to amend the Company's certificate of incorporation to effect the reverse stock split.||-1||-1,P20766,AUDDIA INC,BN,05072K,12/30/2024,12/2/2024,11/14/2024,F,Proposal to amend the Company's certificate of incorporation to effect the reverse stock split.,MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-05-02||05072K||Proposal to grant discretionary authority to our board of directors to amend our Certificate of Incorporation to increase the number of our authorized shares of common stock from 100,000,000 shares to 250,000,000 shares.||-1||-1",S12670,AUDDIA INC,BN,05072K,5/2/2025,4/18/2025,4/4/2025,F,"Proposal to grant discretionary authority to our board of directors to amend our Certificate of Incorporation to increase the number of our authorized shares of common stock from 100,000,000 shares to 250,000,000 shares.",MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Authorize Stock Increase
2024-12-30||05072K||To approve an amendment to the Company's 2020 Equity Incentive Plan.||-1||-1,P20766,AUDDIA INC,BN,05072K,12/30/2024,12/2/2024,11/14/2024,F,To approve an amendment to the Company's 2020 Equity Incentive Plan.,MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
"2024-12-30||05072K||The ratification of the appointment of Haynie & Company as the Company's independent registered public accounting firm for the year ending December 31, 2024.||-1||-1",P20766,AUDDIA INC,BN,05072K,12/30/2024,12/2/2024,11/14/2024,F,"The ratification of the appointment of Haynie & Company as the Company's independent registered public accounting firm for the year ending December 31, 2024.",MG,-1,-1,Corporate Governance,Environmental,Corporate Governance,Audit Related,Corporate Governance,Audit Related
"2024-12-30||05072K||Proposal to authorize, in accordance with Nasdaq Listing Rule 5635(d), the issuance of shares of our common stock pursuant to the Company's Equity Line of Credit.||-1||-1",P20766,AUDDIA INC,BN,05072K,12/30/2024,12/2/2024,11/14/2024,F,"Proposal to authorize, in accordance with Nasdaq Listing Rule 5635(d), the issuance of shares of our common stock pursuant to the Company's Equity Line of Credit.",MG,-1,-1,Shareholder Equity,Acquisition Agreement,Shareholder Equity,Stock Issuance,Shareholder Equity,Stock Issuance
"2025-04-24||05350V||Approval of an amendment to the Company's 2021 Long Term Incentive Plan to increase the number of shares reserved for issuance thereunder by 2,250,000 shares.||-1||-1",P25347,"AVANOS MEDICAL,INC.",SH,05350V,4/24/2025,3/14/2025,2/28/2025,F,"Approval of an amendment to the Company's 2021 Long Term Incentive Plan to increase the number of shares reserved for issuance thereunder by 2,250,000 shares.",MG,-1,-1,Compensation,Social,Compensation,Stock Option Plans,Shareholder Equity,Authorize Stock Increase
"2025-02-05||08579W||To approve, on an advisory, non-binding basis, our executive compensation.||-1||-1",P22484,"BERRY GLOBAL GROUP, INC.",BN,08579W,2/5/2025,1/13/2025,1/6/2025,F,"To approve, on an advisory, non-binding basis, our executive compensation.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-02-25||08579W||Proposal to approve, on a non-binding, advisory basis, the compensation that may be paid or become payable to Berry's named executive officers that is based on or otherwise relates to the transactions contemplated by the Merger Agreement, which proposal is referred to as the ""Berry Advisory Compensation Proposal.""||-1||-1",S05558,"BERRY GLOBAL GROUP, INC.",BN,08579W,2/25/2025,1/29/2025,1/17/2025,F,"Proposal to approve, on a non-binding, advisory basis, the compensation that may be paid or become payable to Berry's named executive officers that is based on or otherwise relates to the transactions contemplated by the Merger Agreement, which proposal is referred to as the ""Berry Advisory Compensation Proposal.""",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-01-15||09075F||To approve a series of alternate amendments to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect, at the option of our Board of Directors, a reverse split of our common stock at a ratio between 1-for-25 and 1-for-75, inclusive, as determined by our Board of Directors in its sole discretion and with such reverse stock split to be effected at such time and date, if at all, as determined by our board of directors in its sole discretion.||-1||-1",S02517,"BIONANO GENOMICS, INC.",BN,09075F,1/15/2025,12/12/2024,11/21/2024,F,"To approve a series of alternate amendments to the Company's Amended and Restated Certificate of Incorporation, as amended, to effect, at the option of our Board of Directors, a reverse split of our common stock at a ratio between 1-for-25 and 1-for-75, inclusive, as determined by our Board of Directors in its sole discretion and with such reverse stock split to be effected at such time and date, if at all, as determined by our board of directors in its sole discretion.",MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-01-15||09075F||To approve, for purposes of complying with Nasdaq Listing Rule 5635(d), the issuance of up to an aggregate of 19,762,226 shares of common stock upon the exercise of certain Series C warrants and Series D warrants.||-1||-1",S02517,"BIONANO GENOMICS, INC.",BN,09075F,1/15/2025,12/12/2024,11/21/2024,F,"To approve, for purposes of complying with Nasdaq Listing Rule 5635(d), the issuance of up to an aggregate of 19,762,226 shares of common stock upon the exercise of certain Series C warrants and Series D warrants.",MG,-1,-1,Shareholder Equity,,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Stock Issuance
"2025-01-13||74933X||To approve, in accordance with NYSE American Company Guide Section 713(a), the issuance of up to 10,695,962 shares of our outstanding common stock, par value $0.0001 per share (""Common Stock""), upon the exercise of our Series K Common Stock Purchase Warrants, with the right for such potential exercise to occur immediately following the date upon which our stockholders approve this proposal (the ""Warrant Exercise Proposal"" or ""Proposal No. 1"").||-1||-1",S02375,"CATHETER PRECISION, INC.",BN,74933X,1/13/2025,12/3/2024,11/18/2024,F,"To approve, in accordance with NYSE American Company Guide Section 713(a), the issuance of up to 10,695,962 shares of our outstanding common stock, par value $0.0001 per share (""Common Stock""), upon the exercise of our Series K Common Stock Purchase Warrants, with the right for such potential exercise to occur immediately following the date upon which our stockholders approve this proposal (the ""Warrant Exercise Proposal"" or ""Proposal No. 1"").",MG,-1,-1,,,Shareholder Equity,Warrants/Bonds/Notes,Shareholder Equity,Warrants/Bonds/Notes
"2025-01-13||74933X||To approve an amendment to our Certificate of Incorporation to increase the number of authorized shares of our Common Stock from thirty (30) million shares to sixty (60) million shares (the ""Certificate Amendment Proposal"" or ""Proposal No. 2"").||-1||-1",S02375,"CATHETER PRECISION, INC.",BN,74933X,1/13/2025,12/3/2024,11/18/2024,F,"To approve an amendment to our Certificate of Incorporation to increase the number of authorized shares of our Common Stock from thirty (30) million shares to sixty (60) million shares (the ""Certificate Amendment Proposal"" or ""Proposal No. 2"").",MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Authorize Stock Increase
"2025-03-10||17322U||To approve an amendment to our Articles of Incorporation to increase the authorized number of shares from 26,000,000 to 260,000,000 and the authorized number of common shares from 16,000,000 to 250,000,000.||-1||-1",P22655,"CITIUS PHARMACEUTICALS, INC.",BN,17322U,3/10/2025,1/29/2025,1/14/2025,F,"To approve an amendment to our Articles of Incorporation to increase the authorized number of shares from 26,000,000 to 260,000,000 and the authorized number of common shares from 16,000,000 to 250,000,000.",MG,-1,-1,Corporate Structure,Supermajority Voting,Shareholder Equity,Authorize Stock Increase,Shareholder Equity,Authorize Stock Increase
2025-03-10||17322U||To approve on a non-binding advisory basis our executive compensation.||-1||-1,P22655,"CITIUS PHARMACEUTICALS, INC.",BN,17322U,3/10/2025,1/29/2025,1/14/2025,F,To approve on a non-binding advisory basis our executive compensation.,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-04-24||174610||Advisory Vote on Executive Compensation.||-1||-1,P26766,"CITIZENS FINANCIAL GROUP, INC.",BN,174610,4/24/2025,3/17/2025,2/28/2025,F,Advisory Vote on Executive Compensation.,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-01-14||228339||To approve a reverse stock split of our common stock at a ratio of not more than 1-for-200, such ratio to be determined by the Board of Directors on or prior to December 31, 2025, in its sole discretion.||-1||-1",S04340,CROWN ELECTROKINETICS CORP.,BN,228339,1/14/2025,12/27/2024,12/16/2024,F,"To approve a reverse stock split of our common stock at a ratio of not more than 1-for-200, such ratio to be determined by the Board of Directors on or prior to December 31, 2025, in its sole discretion.",MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
2025-02-04||126389||Approve and adopt the CSP INC. 2025 Stock Incentive Plan.||-1||-1,P22419,CSP INC.,BN,126389,2/4/2025,1/10/2025,12/20/2024,F,Approve and adopt the CSP INC. 2025 Stock Incentive Plan.,MG,-1,-1,Compensation,Social,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
"2025-02-06||23254L||The approval of an amendment to the Certificate to increase the number of authorized shares of Common Stock from 100,000,000 shares to 250,000,000 shares, which number would not be adjusted as a result of the Reverse Stock Split Amendment, if such amendment is approved.||-1||-1",Z89260,"CYCLACEL PHARMACEUTICALS, INC.",BN,23254L,2/6/2025,1/22/2025,1/9/2025,F,"The approval of an amendment to the Certificate to increase the number of authorized shares of Common Stock from 100,000,000 shares to 250,000,000 shares, which number would not be adjusted as a result of the Reverse Stock Split Amendment, if such amendment is approved.",MG,-1,-1,Corporate Structure,Supermajority Voting,Shareholder Equity,Authorize Stock Increase,Shareholder Equity,Authorize Stock Increase
"2025-01-30||23257B||Approval of, if necessary, the adjournment or postponement of the Special Meeting, to continue to solicit votes for Proposals 1, 2 and 3.||-1||-1",S02870,CYNGN INC.,BN,23257B,1/30/2025,1/9/2025,12/2/2024,F,"Approval of, if necessary, the adjournment or postponement of the Special Meeting, to continue to solicit votes for Proposals 1, 2 and 3.",MG,-1,-1,Shareholder Rights,Omnibus Stock Plan,Shareholder Rights,Meeting Management,Shareholder Rights,Meeting Management
"2025-01-30||23257B||Grant discretionary authority to our board of directors to (i) amend our certificate of incorporation to combine outstanding shares of our common stock into a lesser number of outstanding shares, or a ""reverse stock split,"" at a specific ratio within a range of one-for-five (1-for-5) to a maximum of a one-for-one hundred fifty (1-for-150) split, with the exact ratio to be determined by our board of directors in its sole discretion; and (ii) effect the reverse stock split, if at all, within one year of the date the proposal is approved by stockholders.||-1||-1",S02870,CYNGN INC.,BN,23257B,1/30/2025,1/9/2025,12/2/2024,F,"Grant discretionary authority to our board of directors to (i) amend our certificate of incorporation to combine outstanding shares of our common stock into a lesser number of outstanding shares, or a ""reverse stock split,"" at a specific ratio within a range of one-for-five (1-for-5) to a maximum of a one-for-one hundred fifty (1-for-150) split, with the exact ratio to be determined by our board of directors in its sole discretion; and (ii) effect the reverse stock split, if at all, within one year of the date the proposal is approved by stockholders.",MG,-1,-1,,,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
"2025-01-30||23257B||Approval of an amendment to the Company's Certificate of Incorporation to increase the number of authorized common stock from 200,000,000 to 400,000,000 shares.||-1||-1",S02870,CYNGN INC.,BN,23257B,1/30/2025,1/9/2025,12/2/2024,F,"Approval of an amendment to the Company's Certificate of Incorporation to increase the number of authorized common stock from 200,000,000 to 400,000,000 shares.",MG,-1,-1,Corporate Structure,Supermajority Voting,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Authorize Stock Increase
2025-02-03||253798||Company proposal to approve the amendment and restatement of the Digi International Inc. 2021 Omnibus Incentive Plan.||-1||-1,P21220,DIGI INTERNATIONAL INC.,BN,253798,2/3/2025,12/20/2024,12/9/2024,F,Company proposal to approve the amendment and restatement of the Digi International Inc. 2021 Omnibus Incentive Plan.,MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
2025-05-01||26441C||Advisory vote to approve Duke Energy's named executive officer compensation||-1||-1,P24563,DUKE ENERGY CORPORATION,BN,26441C,5/1/2025,3/17/2025,3/3/2025,F,Advisory vote to approve Duke Energy's named executive officer compensation,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-01-17||29405E||To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended (the ""Charter""), to, at the discretion of the Board of Directors of the Company, effect a reverse stock split with respect to the Company's issued and outstanding common stock, par value $0.01 per share, including stock held by the Company as treasury shares, at a ratio of 1-for-10 to 1-for-100 (""Range""), with the ratio within such Range to be determined at the discretion of the Board (the ""Reverse Stock Split Proposal"").||-1||-1",S03115,"ENVERIC BIOSCIENCES, INC.",BN,29405E,1/17/2025,12/20/2024,12/11/2024,F,"To approve an amendment to the Company's Amended and Restated Certificate of Incorporation, as amended (the ""Charter""), to, at the discretion of the Board of Directors of the Company, effect a reverse stock split with respect to the Company's issued and outstanding common stock, par value $0.01 per share, including stock held by the Company as treasury shares, at a ratio of 1-for-10 to 1-for-100 (""Range""), with the ratio within such Range to be determined at the discretion of the Board (the ""Reverse Stock Split Proposal"").",MG,-1,-1,,,Corporate Structure,Miscellaneous Corporate Actions,Shareholder Equity,Stock Splits/Reverse Stock Splits
2025-04-22||29460X||Advisory vote to approve the compensation paid to the named executive officers of the Company.||-1||-1,P27045,"EQUITY BANCSHARES, INC.",BN,29460X,4/22/2025,3/18/2025,2/28/2025,F,Advisory vote to approve the compensation paid to the named executive officers of the Company.,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-04-15||29667D||Approval of an advisory (non-binding) basis, specified compensation that may become payable to the named executive officers of ESSA in connection with the merger.||-1||-1",S10131,"ESSA BANCORP, INC.",BN,29667D,4/15/2025,3/13/2025,2/18/2025,F,"Approval of an advisory (non-binding) basis, specified compensation that may become payable to the named executive officers of ESSA in connection with the merger.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Golden Parachutes,Compensation,Executive Pay Evaluation (Say on Pay)
2025-05-01||30040W||Consider an advisory proposal approving the compensation of our Named Executive Officers.||-1||-1,P26823,EVERSOURCE ENERGY,BN,30040W,5/1/2025,3/21/2025,3/4/2025,F,Consider an advisory proposal approving the compensation of our Named Executive Officers.,MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
"2025-04-29||302491||Approval, by non-binding vote, of executive compensation.||-1||-1",P21001,FMC CORPORATION,BN,302491,4/29/2025,3/21/2025,2/28/2025,F,"Approval, by non-binding vote, of executive compensation.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-01-24||34962G||The approval of an amended and restated 2021 Equity Incentive Plan.||-1||-1,S03007,"FORTE BIOSCIENCES, INC.",BN,34962G,1/24/2025,1/9/2025,12/30/2024,F,The approval of an amended and restated 2021 Equity Incentive Plan.,MG,-1,-1,Compensation,Health,Compensation,Omnibus Stock Plan,Compensation,Omnibus Stock Plan
"2025-04-17||35952H||To approve, on a non-binding advisory basis, the compensation of FuelCell Energy, Inc.'s named executive officers as set forth in the ""Executive Compensation"" section of the Proxy Statement.||-1||-1",P24866,"FUELCELL ENERGY, INC.",BD,35952H,4/17/2025,3/3/2025,2/12/2025,F,"To approve, on a non-binding advisory basis, the compensation of FuelCell Energy, Inc.'s named executive officers as set forth in the ""Executive Compensation"" section of the Proxy Statement.",MG,-1,-1,Compensation,Articles/ByLaws,Compensation,Executive Pay Evaluation (Say on Pay),Compensation,Executive Pay Evaluation (Say on Pay)
2025-04-17||35952H||Election of Director to serve until the 2026 Annual Meeting: James H. England||-1||-1,P24866,"FUELCELL ENERGY, INC.",BD,35952H,4/17/2025,3/3/2025,2/12/2025,F,Election of Director to serve until the 2026 Annual Meeting: James H. England,MG,-1,-1,Shareholder Rights,Board Classification,Board of Directors,Elections,Board of Directors,Elections
