left_issuer,left_proposal,left_identifier,right_issuer,right_proposal,right_identifier,confidence,reason,match_type
CITIGROUP INC.,Election of Director: Ren̩e J. James,2025-04-29||172967||Election of Director: Ren̩e J. James||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Election of Director: Titi Cole,2025-04-29||172967||Election of Director: Titi Cole||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Proposal to ratify the selection of KPMG LLP as Citi's independent registered public accounting firm for 2025.,2025-04-29||172967||Proposal to ratify the selection of KPMG LLP as Citi's independent registered public accounting firm for 2025.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Stockholder proposal requesting a report disclosing the Board's oversight regarding material risks associated with animal welfare.,2025-04-29||172967||Stockholder proposal requesting a report disclosing the Board's oversight regarding material risks associated with animal welfare.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Stockholder proposal requesting a report on financial statement assumptions and climate change.,2025-04-29||172967||Stockholder proposal requesting a report on financial statement assumptions and climate change.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Stockholder proposal requesting a report on the effectiveness of Citi's policies and practices in respecting Indigenous Peoples' rights in Citi's existing and proposed financing.,2025-04-29||172967||Stockholder proposal requesting a report on the effectiveness of Citi's policies and practices in respecting Indigenous Peoples' rights in Citi's existing and proposed financing.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,Stockholder proposal requesting a shareholder vote regarding excessive golden parachutes.,2025-04-29||172967||Stockholder proposal requesting a shareholder vote regarding excessive golden parachutes.||-1||-1,Security National Financial Corporation,,,0,unmatched_left,unmatched
CITIGROUP INC.,,,Security National Financial Corporation,Elect Robert G. Hunter,4608_1.02,0,unmatched_right,unmatched
CITIGROUP INC.,,,Security National Financial Corporation,Elect Scott M. Quist,4608_1.01,0,unmatched_right,unmatched
CITIGROUP INC.,,,Security National Financial Corporation,Elect Jason G. Overbaugh,4608_1.03,0,unmatched_right,unmatched
"COHERUS BIOSCIENCES, INC.","To approve the Transaction, the Asset Purchase Agreement and the other transactions and ancillary documents contemplated by the Asset Purchase Agreement.","2025-03-11||19249H||To approve the Transaction, the Asset Purchase Agreement and the other transactions and ancillary documents contemplated by the Asset Purchase Agreement.||-1||-1","Coherus Oncology, Inc.",,,0,unmatched_left,unmatched
"COHERUS BIOSCIENCES, INC.",,,"Coherus Oncology, Inc.",Advisory Vote to Ratify Named Executive Officers' Compensation,30547_3,0,unmatched_right,unmatched
HEICO CORPORATION,Election of Director: Mark H. Hildebrandt,2025-03-14||422806||Election of Director: Mark H. Hildebrandt||-1||-1,HEICO Corp,Elect Director Mark H. Hildebrandt,1859_1.4,1,Both proposals involve the election of Director Mark H. Hildebrandt.,gpt_matched
HEICO CORPORATION,ADVISORY APPROVAL OF THE COMPANY'S EXECUTIVE COMPENSATION.,2025-03-14||422806||ADVISORY APPROVAL OF THE COMPANY'S EXECUTIVE COMPENSATION.||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Adolfo Henriques,2025-03-14||422806||Election of Director: Adolfo Henriques||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Carol F. Fine,2025-03-14||422806||Election of Director: Carol F. Fine||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Dr. Alan Schriesheim,2025-03-14||422806||Election of Director: Dr. Alan Schriesheim||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Eric A. Mendelson,2025-03-14||422806||Election of Director: Eric A. Mendelson||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Frank J. Schwitter,2025-03-14||422806||Election of Director: Frank J. Schwitter||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Julie Neitzel,2025-03-14||422806||Election of Director: Julie Neitzel||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Laurans A. Mendelson,2025-03-14||422806||Election of Director: Laurans A. Mendelson||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Thomas M. Culligan,2025-03-14||422806||Election of Director: Thomas M. Culligan||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,Election of Director: Victor H. Mendelson,2025-03-14||422806||Election of Director: Victor H. Mendelson||-1||-1,HEICO Corp,,,0,unmatched_left,unmatched
HEICO CORPORATION,"RATIFICATION OF THE APPOINTMENT OF DELOITTE & TOUCHE LLP AS THE COMPANY'S INDEPENDENT REGISTERED PUBLIC ACCOUNTING FIRM FOR THE FISCAL YEAR ENDING OCTOBER 31, 2025.","2025-03-14||422806||RATIFICATION OF THE APPOINTMENT OF DELOITTE & TOUCHE LLP AS THE COMPANY'S INDEPENDENT REGISTERED PUBLIC ACCOUNTING FIRM FOR THE FISCAL YEAR ENDING OCTOBER 31, 2025.||-1||-1",HEICO Corp,,,0,unmatched_left,unmatched
HERBALIFE LTD.,"Approve, on an advisory basis, the compensation of the Company's named executive officers.","2025-04-23||G4412G||Approve, on an advisory basis, the compensation of the Company's named executive officers.||-1||-1",Herbalife Nutrition Ltd,Advisory Vote to Ratify Named Executive Officers' Compensation,722_2,0.9,"Both proposals relate to the advisory vote on the compensation of named executive officers, indicating a direct match in topic and purpose.",gpt_matched
HERBALIFE LTD.,Election of Director: Celine Del Genes,2025-04-23||G4412G||Election of Director: Celine Del Genes||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Don Mulligan,2025-04-23||G4412G||Election of Director: Don Mulligan||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Juan Miguel Mendoza,2025-04-23||G4412G||Election of Director: Juan Miguel Mendoza||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Lynda Cloud,2025-04-23||G4412G||Election of Director: Lynda Cloud||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Maria Otero,2025-04-23||G4412G||Election of Director: Maria Otero||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Michael Levitt,2025-04-23||G4412G||Election of Director: Michael Levitt||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Michael O. Johnson,2025-04-23||G4412G||Election of Director: Michael O. Johnson||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Perkins Miller,2025-04-23||G4412G||Election of Director: Perkins Miller||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Richard H. Carmona,2025-04-23||G4412G||Election of Director: Richard H. Carmona||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Rodica Macadrai,2025-04-23||G4412G||Election of Director: Rodica Macadrai||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,Election of Director: Sophie L'H̩lias,2025-04-23||G4412G||Election of Director: Sophie L'H̩lias||-1||-1,Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
HERBALIFE LTD.,"Ratify, on an advisory basis, the appointment of the Company's independent registered public accounting firm for fiscal year 2025.","2025-04-23||G4412G||Ratify, on an advisory basis, the appointment of the Company's independent registered public accounting firm for fiscal year 2025.||-1||-1",Herbalife Nutrition Ltd,,,0,unmatched_left,unmatched
LIMONEIRA COMPANY,"To vote on an advisory resolution to approve the compensation of the Named Executive Officers as disclosed in this proxy statement (""Proposal 2"").","2025-04-09||532746||To vote on an advisory resolution to approve the compensation of the Named Executive Officers as disclosed in this proxy statement (""Proposal 2"").||-1||-1",Limoneira Co,Advisory Vote on Executive Compensation,3262_2,0.9,"Both proposals relate to executive compensation, with the left proposal being an advisory resolution on the compensation of Named Executive Officers and the right proposal being an advisory vote on executive compensation.",gpt_matched
LIMONEIRA COMPANY,Electing Barbara Carbone as director,2025-04-09||532746||01||Barbara Carbone,Limoneira Co,,,0,unmatched_left,unmatched
LIMONEIRA COMPANY,Electing Gordon E. Kimball as director,2025-04-09||532746||02||Gordon E. Kimball,Limoneira Co,,,0,unmatched_left,unmatched
LIMONEIRA COMPANY,Electing Scott S. Slater as director,2025-04-09||532746||03||Scott S. Slater,Limoneira Co,,,0,unmatched_left,unmatched
LIMONEIRA COMPANY,"To ratify the appointment of Deloitte & Touche LLP to service as the independent registered public accounting firm for Limoneira Company for the fiscal year ending October 31, 2025 (""Proposal 3"").","2025-04-09||532746||To ratify the appointment of Deloitte & Touche LLP to service as the independent registered public accounting firm for Limoneira Company for the fiscal year ending October 31, 2025 (""Proposal 3"").||-1||-1",Limoneira Co,,,0,unmatched_left,unmatched
PACCAR INC,Advisory resolution to approve executive compensation,2025-04-29||693718||Advisory resolution to approve executive compensation||-1||-1,Pacific Biosciences of California Inc.,Advisory Vote to Ratify Named Executive Officers' Compensation,3747_3,0.9,"Both proposals relate to executive compensation, with one being an advisory resolution and the other an advisory vote.",gpt_matched
PACCAR INC,Advisory vote on the ratification of independent auditors,2025-04-29||693718||Advisory vote on the ratification of independent auditors||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Barbara B. Hulit,2025-04-29||693718||Election of Director to serve for one-year term: Barbara B. Hulit||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Brice A. Hill,2025-04-29||693718||Election of Director to serve for one-year term: Brice A. Hill||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Cynthia A. Niekamp,2025-04-29||693718||Election of Director to serve for one-year term: Cynthia A. Niekamp||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Dame Alison J. Carnwath,2025-04-29||693718||Election of Director to serve for one-year term: Dame Alison J. Carnwath||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Ganesh Ramaswamy,2025-04-29||693718||Election of Director to serve for one-year term: Ganesh Ramaswamy||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: John M. Pigott,2025-04-29||693718||Election of Director to serve for one-year term: John M. Pigott||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Kirk S. Hachigian,2025-04-29||693718||Election of Director to serve for one-year term: Kirk S. Hachigian||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Luiz A. S. Pretti,2025-04-29||693718||Election of Director to serve for one-year term: Luiz A. S. Pretti||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Mark A. Schulz,2025-04-29||693718||Election of Director to serve for one-year term: Mark A. Schulz||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Mark C. Pigott,2025-04-29||693718||Election of Director to serve for one-year term: Mark C. Pigott||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: Pierre R. Breber,2025-04-29||693718||Election of Director to serve for one-year term: Pierre R. Breber||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Election of Director to serve for one-year term: R. Preston Feight,2025-04-29||693718||Election of Director to serve for one-year term: R. Preston Feight||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,Stockholder proposal regarding a shareholder vote on excessive golden parachutes,2025-04-29||693718||Stockholder proposal regarding a shareholder vote on excessive golden parachutes||-1||-1,Pacific Biosciences of California Inc.,,,0,unmatched_left,unmatched
PACCAR INC,,,Pacific Biosciences of California Inc.,Amend Omnibus Stock Plan,3747_4,0,unmatched_right,unmatched
SANMINA CORPORATION,"To approve the reservation of an additional 1,000,000 shares of common stock for issuance under the 2019 Equity Incentive Plan of Sanmina Corporation.","2025-03-10||801056||To approve the reservation of an additional 1,000,000 shares of common stock for issuance under the 2019 Equity Incentive Plan of Sanmina Corporation.||-1||-1","SenesTech, Inc.",Amendment to the 2018 Equity Incentive Plan,37795_3,0.7,"Both proposals relate to equity incentive plans, with the left proposal seeking to reserve shares under an existing plan and the right proposal amending a similar plan.",gpt_matched
SANMINA CORPORATION,"To approve, on an advisory (non-binding) basis, the compensation of Sanmina Corporation's named executive officers.","2025-03-10||801056||To approve, on an advisory (non-binding) basis, the compensation of Sanmina Corporation's named executive officers.||-1||-1","SenesTech, Inc.",Advisory Vote on Executive Compensation,37795_2,0.9,"Both proposals involve advisory votes on executive compensation, making them closely related in terms of governance and shareholder engagement.",gpt_matched
SANMINA CORPORATION,"To consider and vote upon the stockholder proposal entitled ""Proposal 5 - Special Shareholder Meeting Improvement,"" requesting that the Board of Directors take action as necessary to amend the existing right for shareholders to call a special meeting.","2025-03-10||801056||To consider and vote upon the stockholder proposal entitled ""Proposal 5 - Special Shareholder Meeting Improvement,"" requesting that the Board of Directors take action as necessary to amend the existing right for shareholders to call a special meeting.||-1||-1","SenesTech, Inc.",Right to Adjourn Meeting,37795_7,0.6,"The left proposal concerns shareholder rights to call a special meeting, while the right proposal includes a right to adjourn the meeting, both focusing on governance and shareholder participation.",gpt_matched
SANMINA CORPORATION,Election of Director: David V. Hedley III,2025-03-10||801056||Election of Director: David V. Hedley III||-1||-1,"SenesTech, Inc.",Elect Jamie Bechtel Morrison,37795_1.01,0.5,"Both proposals involve the election of directors, with the left proposal electing David V. Hedley III and the right proposal electing Jamie Bechtel Morrison.",gpt_matched
SANMINA CORPORATION,"Election of Director: Joseph G. Licata, Jr.","2025-03-10||801056||Election of Director: Joseph G. Licata, Jr.||-1||-1","SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,Election of Director: Jure Sola,2025-03-10||801056||Election of Director: Jure Sola||-1||-1,"SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,Election of Director: Krish Prabhu,2025-03-10||801056||Election of Director: Krish Prabhu||-1||-1,"SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,Election of Director: Mythili Sankaran,2025-03-10||801056||Election of Director: Mythili Sankaran||-1||-1,"SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,Election of Director: Susan A. Johnson,2025-03-10||801056||Election of Director: Susan A. Johnson||-1||-1,"SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,Election of Director: Susan K. Barnes,2025-03-10||801056||Election of Director: Susan K. Barnes||-1||-1,"SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,"To ratify the appointment of PricewaterhouseCoopers LLP as Sanmina Corporation's independent registered public accounting firm for the fiscal year ending September 27, 2025.","2025-03-10||801056||To ratify the appointment of PricewaterhouseCoopers LLP as Sanmina Corporation's independent registered public accounting firm for the fiscal year ending September 27, 2025.||-1||-1","SenesTech, Inc.",,,0,unmatched_left,unmatched
SANMINA CORPORATION,,,"SenesTech, Inc.",Amendment to the 2018 Equity Incentive Plan,37795_3,0,unmatched_right,unmatched
SANMINA CORPORATION,,,"SenesTech, Inc.",Issuance of Common Stock upon Warrant Exercise,37795_5,0,unmatched_right,unmatched
SANMINA CORPORATION,,,"SenesTech, Inc.",Reverse Stock Split,37795_6,0,unmatched_right,unmatched
SANMINA CORPORATION,,,"SenesTech, Inc.",Right to Adjourn Meeting,37795_6,0,unmatched_right,unmatched
"SYNOPSYS, INC.","To approve, on an advisory basis, the compensation of our named executive officers, as disclosed in the attached Proxy Statement.","2025-04-10||871607||To approve, on an advisory basis, the compensation of our named executive officers, as disclosed in the attached Proxy Statement.||-1||-1","TG Therapeutics, Inc.",Advisory Vote to Ratify Named Executive Officers' Compensation,26522_3,0.9,Both proposals involve an advisory vote on the compensation of named executive officers.,gpt_matched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Bruce R. Chizen,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Bruce R. Chizen||-1||-1,"TG Therapeutics, Inc.",Elect Director Sagar Lonial,26522_1.5,0.7,"Both proposals involve the election of a director, although the individuals are different.",gpt_matched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Janice D. Chaffin,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Janice D. Chaffin||-1||-1,"TG Therapeutics, Inc.",Elect Director Yann Echelard,26522_1.2,0.7,"Both proposals involve the election of a director, although the individuals are different.",gpt_matched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Jeannine P. Sargent,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Jeannine P. Sargent||-1||-1,"TG Therapeutics, Inc.",Elect Director Daniel Hume,26522_1.4,0.7,"Both proposals involve the election of a director, although the individuals are different.",gpt_matched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Dr. Aart J. de Geus,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Dr. Aart J. de Geus||-1||-1,"TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: John G. Schwarz,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: John G. Schwarz||-1||-1,"TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Luis Borgen,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Luis Borgen||-1||-1,"TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Mercedes Johnson,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Mercedes Johnson||-1||-1,"TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Robert G. Painter,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Robert G. Painter||-1||-1,"TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.",Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Sassine Ghazi,2025-04-10||871607||Election of Director to hold office until the next annual meeting of stockholders or until their successors have been elected: Sassine Ghazi||-1||-1,"TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.","To approve our 2006 Employee Equity Incentive Plan, as amended.","2025-04-10||871607||To approve our 2006 Employee Equity Incentive Plan, as amended.||-1||-1","TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.","To approve our Employee Stock Purchase Plan, as amended.","2025-04-10||871607||To approve our Employee Stock Purchase Plan, as amended.||-1||-1","TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.","To ratify the selection of KPMG LLP as our independent registered public accounting firm for the fiscal year ending October 31, 2025.","2025-04-10||871607||To ratify the selection of KPMG LLP as our independent registered public accounting firm for the fiscal year ending October 31, 2025.||-1||-1","TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.","To vote on a stockholder proposal regarding shareholder ratification of golden parachutes, if properly presented at the meeting.","2025-04-10||871607||To vote on a stockholder proposal regarding shareholder ratification of golden parachutes, if properly presented at the meeting.||-1||-1","TG Therapeutics, Inc.",,,0,unmatched_left,unmatched
"SYNOPSYS, INC.",,,"TG Therapeutics, Inc.",Elect Director Kenneth Hoberman,26522_1.3,0,unmatched_right,unmatched
THE HACKETT GROUP INC,Election of Director: Alan T. G. Wix,2025-05-01||404609||Election of Director: Alan T. G. Wix||-1||-1,Hackett Group Inc/The,,,0,unmatched_left,unmatched
THE HACKETT GROUP INC,Election of Director: Robert A. Rivero,2025-05-01||404609||Election of Director: Robert A. Rivero||-1||-1,Hackett Group Inc/The,,,0,unmatched_left,unmatched
THE HACKETT GROUP INC,Election of Director: Ted A. Fernandez,2025-05-01||404609||Election of Director: Ted A. Fernandez||-1||-1,Hackett Group Inc/The,,,0,unmatched_left,unmatched
THE HACKETT GROUP INC,"To approve an amendment to the Company's 1998 Stock Option and Incentive Plan (the ""Plan"") to (i) increase the sublimit under the Plan for restricted stock and restricted stock unit issuances by 1,950,000 shares; and (ii) increase the number of shares authorized for issuance under the Plan by 1,950,000 shares.","2025-05-01||404609||To approve an amendment to the Company's 1998 Stock Option and Incentive Plan (the ""Plan"") to (i) increase the sublimit under the Plan for restricted stock and restricted stock unit issuances by 1,950,000 shares; and (ii) increase the number of shares authorized for issuance under the Plan by 1,950,000 shares.||-1||-1",Hackett Group Inc/The,,,0,unmatched_left,unmatched
THE HACKETT GROUP INC,"To approve, in an advisory vote, the Company's executive compensation.","2025-05-01||404609||To approve, in an advisory vote, the Company's executive compensation.||-1||-1",Hackett Group Inc/The,,,0,unmatched_left,unmatched
THE HACKETT GROUP INC,"To ratify the appointment of RSM US LLP as the Company's independent registered public accounting firm for the fiscal year ending December 26, 2025","2025-05-01||404609||To ratify the appointment of RSM US LLP as the Company's independent registered public accounting firm for the fiscal year ending December 26, 2025||-1||-1",Hackett Group Inc/The,,,0,unmatched_left,unmatched
TELEDYNE TECHNOLOGIES INCORPORATED,"Approval of a non-binding advisory resolution on the Company's 2024 executive compensation (""say on pay"")","2025-04-23||879360||Approval of a non-binding advisory resolution on the Company's 2024 executive compensation (""say on pay"")||-1||-1",Teleflex Incorporated,,,0,unmatched_left,unmatched
TELEDYNE TECHNOLOGIES INCORPORATED,Approval of a stockholder proposal to support shareholder ability to call for a special shareholder meeting,2025-04-23||879360||Approval of a stockholder proposal to support shareholder ability to call for a special shareholder meeting||-1||-1,Teleflex Incorporated,,,0,unmatched_left,unmatched
TELEDYNE TECHNOLOGIES INCORPORATED,Approval of amendments to the Company's Restated Certificate of Incorporation to adopt majority voting provisions,2025-04-23||879360||Approval of amendments to the Company's Restated Certificate of Incorporation to adopt majority voting provisions||-1||-1,Teleflex Incorporated,,,0,unmatched_left,unmatched
TELEDYNE TECHNOLOGIES INCORPORATED,Election of Director: Jane C. Sherburne,2025-04-23||879360||Election of Director: Jane C. Sherburne||-1||-1,Teleflex Incorporated,,,0,unmatched_left,unmatched
TELEDYNE TECHNOLOGIES INCORPORATED,Election of Director: Michael T. Smith,2025-04-23||879360||Election of Director: Michael T. Smith||-1||-1,Teleflex Incorporated,,,0,unmatched_left,unmatched
TELEDYNE TECHNOLOGIES INCORPORATED,Election of Director: Robert Mehrabian,2025-04-23||879360||Election of Director: Robert Mehrabian||-1||-1,Teleflex Incorporated,,,0,unmatched_left,unmatched
