left_name,right_name_cusip,right_name_names
THE SCOTTS MIRACLE-GRO COMPANY,The Scotts Miracle-Gro Company,The Scotts Miracle-Gro Company
"MAYVILLE ENGINEERING COMPANY, INC.",Mayville Engineering Co Inc,Mayville Engineering Co Inc
UNIFIRST CORPORATION,Unifirst Corporation,Unifirst Corporation
RUNWAY GROWTH FINANCE CORP.,Runway Growth Finance Corp.,Runway Growth Finance Corp.
"AVANOS MEDICAL,INC.",Avanos Medical Inc,Avanos Medical Inc
"NINE ENERGY SERVICE, INC.",Nine Energy Service Inc,Nine Energy Service Inc
NORWOOD FINANCIAL CORP.,Norwood Financial Corp.,Norwood Financial Corp.
ILLINOIS TOOL WORKS INC.,Illinois Tool Works Inc.,
CITIGROUP INC.,Citigroup Inc.,
CMS ENERGY CORPORATION,CMS Energy Corporation,
FMC CORPORATION,FMC Corporation,FMC Corporation
MURPHY USA INC.,Murphy USA Inc.,
JOHNSON OUTDOORS INC.,Johnson Outdoors Inc.,Johnson Outdoors Inc.
LIMONEIRA COMPANY,Limoneira Co,Limoneira Co
"SHOALS TECHNOLOGIES GROUP, INC.","Shoals Technologies Group, Inc.","Shoals Technologies Group, Inc."
"INNOVATIVE SOLUTIONS AND SUPPORT,INC.",Innovative Solutions and Support Inc.,Innovative Solutions and Support Inc.
HEICO CORPORATION,HEICO Corp,HEICO Corp
"AEON BIOPHARMA, INC.","AEON Biopharma, Inc.","AEON Biopharma, Inc."
"WINDTREE THERAPEUTICS, INC.",Windtree Therapeutics Inc,Windtree Therapeutics Inc
"ESSA BANCORP, INC.",ESSA Bancorp Inc.,ESSA Bancorp Inc.
"HEPION PHARMACEUTICALS, INC.","Hepion Pharmaceuticals, Inc.","Hepion Pharmaceuticals, Inc."
"BIONANO GENOMICS, INC.",BioNano Genomics Inc,BioNano Genomics Inc
THE HACKETT GROUP INC,Hackett Group Inc/The,
"VIRPAX PHARMACEUTICALS, INC.",Virpax Pharmaceuticals Inc.,Virpax Pharmaceuticals Inc.
MARATHON PETROLEUM CORPORATION,Marathon Petroleum Corporation,
"ENTEGRIS, INC.",Entegris Inc.,
EVERSOURCE ENERGY,Eversource Energy,Eversource Energy
TRUIST FINANCIAL CORPORATION,Truist Financial Corporation,Truist Financial Corporation
CONCENTRIX CORPORATION,Concentrix Corp,
"XWELL, INC.","XWELL, Inc.","XWELL, Inc."
"KEYSIGHT TECHNOLOGIES, INC.","Keysight Technologies, Inc.",
"MARATHON DIGITAL HOLDINGS, INC.","MARA Holdings, Inc.",
DIGI INTERNATIONAL INC.,Digi International Inc.,Digi International Inc.
"MEI PHARMA, INC.",MEI Pharma Inc.,MEI Pharma Inc.
GRI BIO INC,"GRI Bio, Inc.","GRI Bio, Inc."
"SALLY BEAUTY HOLDINGS, INC.",Sally Beauty Holdings Inc.,
"GREENLANE HOLDINGS, INC.",Greenlane Holdings Inc,Greenlane Holdings Inc
"SAGA COMMUNICATIONS, INC.",Saga Communications Inc.,Saga Communications Inc.
DOVER CORPORATION,Dover Corporation,
"MOLINA HEALTHCARE, INC.",Molina Healthcare Inc,Molina Healthcare Inc
FIRST BANCORP,First Bancorp/Southern Pines NC (FBNC),
1847 HOLDINGS LLC,1847 Holdings LLC,1847 Holdings LLC
"AGILENT TECHNOLOGIES, INC.",Agilent Technologies Inc.,
"FUELCELL ENERGY, INC.",FuelCell Energy Inc.,FuelCell Energy Inc.
GENASYS INC.,Genasys Inc.,Genasys Inc.
"POST HOLDINGS, INC.",Post Holdings Inc.,Post Holdings Inc.
ENERGY SERVICES OF AMERICA CORP.,Energy Services of America Corporation,Energy Services of America Corporation
CSP INC.,CSP Inc.,CSP Inc.
BOSTON SCIENTIFIC CORPORATION,Boston Scientific Corporation,
TEXAS INSTRUMENTS INCORPORATED,Texas Instruments Incorporated,
"PEOPLES BANCORP OF NORTH CAROLINA, INC.",Peoples Bancorp of North Carolina Inc.,Peoples Bancorp of North Carolina Inc.
SANMINA CORPORATION,Sanmina Corporation,
JABIL INC.,Jabil Inc,Jabil Inc
PANGAEA LOGISTICS SOLUTIONS LTD.,Pangaea Logistics Solutions Ltd,Pangaea Logistics Solutions Ltd
"ZSCALER, INC.",Zscaler Inc,Zscaler Inc
PACCAR INC,PACCAR Inc.,
NATIONAL BANK HOLDINGS CORP,National Bank Holdings Corporation,National Bank Holdings Corporation
FORWARD AIR CORPORATION,Forward Air Corporation,Forward Air Corporation
ADOBE INC.,Adobe Inc.,
"PARKE BANCORP, INC.",Parke Bancorp Inc.,Parke Bancorp Inc.
"SUNATION ENERGY, INC.",SUNation Energy Inc.,SUNation Energy Inc.
"MITEK SYSTEMS, INC.",Mitek Systems Inc.,Mitek Systems Inc.
"GOUVERNEUR BANCORP, INC.",Gouverneur Bancorp Inc,Gouverneur Bancorp Inc
"SYNOPSYS, INC.",Synopsys Inc.,
LIBERTY ENERGY INC.,Liberty Energy Inc,Liberty Energy Inc
CYNGN INC.,Cyngn Inc.,Cyngn Inc.
"LESLIE'S, INC.","Leslie's, Inc.","Leslie's, Inc."
"TREEHOUSE FOODS, INC.",TreeHouse Foods Inc.,
"MARKETWISE, INC.","MarketWise, Inc.","MarketWise, Inc."
"LANTHEUS HOLDINGS, INC.",Lantheus Holdings Inc,Lantheus Holdings Inc
"UTAH MEDICAL PRODUCTS, INC.",Utah Medical Products Inc.,Utah Medical Products Inc.
"A10 NETWORKS, INC.",A10 Networks Inc,A10 Networks Inc
"HOLOGIC, INC.",Hologic Inc.,
"REV GROUP, INC.",REV Group Inc,REV Group Inc
DAILY JOURNAL CORPORATION,Daily Journal Corp. (S.C.),Daily Journal Corp. (S.C.)
AUDDIA INC,Auddia Inc.,Auddia Inc.
"EQUITY BANCSHARES, INC.",Equity Bancshares Inc,Equity Bancshares Inc
TRIPLEPOINT VENTURE GROWTH BDC CORP.,TriplePoint Venture Growth BDC Corp,TriplePoint Venture Growth BDC Corp
"LEE ENTERPRISES, INCORPORATED","Lee Enterprises, Incorporated","Lee Enterprises, Incorporated"
"PENNS WOODS BANCORP, INC.",Penns Woods Bancorp Inc.,Penns Woods Bancorp Inc.
"CYCLACEL PHARMACEUTICALS, INC.",Cyclacel Pharmaceuticals Inc.,Cyclacel Pharmaceuticals Inc.
PFIZER INC.,Pfizer Inc.,Pfizer Inc.
"PAPA JOHN'S INTERNATIONAL, INC.",Papa John's International Inc.,
ACME UNITED CORPORATION,Acme United Corporation.,Acme United Corporation.
"CATHETER PRECISION, INC.",Catheter Precision Inc.,Catheter Precision Inc.
"ENVERIC BIOSCIENCES, INC.",Enveric Biosciences Inc.,Enveric Biosciences Inc.
OAKTREE SPECIALTY LENDING CORPORATION,Oaktree Specialty Lending Corp,Oaktree Specialty Lending Corp
CROWN ELECTROKINETICS CORP.,Crown Electrokinetics Corp.,Crown Electrokinetics Corp.
TWIST BIOSCIENCE CORPORATION,Twist Bioscience Corp,Twist Bioscience Corp
"APPLIED DNA SCIENCES, INC.",Applied DNA Sciences Inc,Applied DNA Sciences Inc
TELEDYNE TECHNOLOGIES INCORPORATED,Teledyne Technologies Incorporated,
"REVELATION BIOSCIENCES, INC.",Revelation Biosciences Inc.,Revelation Biosciences Inc.
MASIMO CORPORATION,Masimo Corporation,Masimo Corporation
"X4 PHARMACEUTICALS, INC.","X4 Pharmaceuticals, Inc.","X4 Pharmaceuticals, Inc."
"RESHAPE LIFESCIENCES, INC",ReShape Lifesciences Inc.,ReShape Lifesciences Inc.
MICROBOT MEDICAL INC.,Microbot Medical Inc,Microbot Medical Inc
"TRANSCODE THERAPEUTICS, INC.","TransCode Therapeutics, Inc.","TransCode Therapeutics, Inc."
EDIBLE GARDEN AG INCORPORATED,Edible Garden AG Inc,Edible Garden AG Inc
PMGC HOLDINGS INC.,PMGC Holdings Inc.,PMGC Holdings Inc.
AIR LEASE CORPORATION,Air Lease Corporation,Air Lease Corporation
HCW BIOLOGICS INC.,HCW Biologics Inc.,HCW Biologics Inc.
PAVMED INC.,PAVmed Inc.,PAVmed Inc.
MOTORSPORT GAMES INC.,Motorsport Games Inc.,Motorsport Games Inc.
KARYOPHARM THERAPEUTICS INC.,Karyopharm Therapeutics Inc.,Karyopharm Therapeutics Inc.
"LIVEPERSON, INC.","LivePerson, Inc.","LivePerson, Inc."
IMAC HOLDINGS INC,"IMAC Holdings, Inc.","IMAC Holdings, Inc."
CAPITAL ONE FINANCIAL CORPORATION,Capital One Financial Corporation,
"SONOS, INC.",Sonos Inc,Sonos Inc
SINTX TECHNOLOGIES INC,SiNtx Technologies Inc,SiNtx Technologies Inc
"CUTERA, INC.",Cutera Inc.,Cutera Inc.
"YETI HOLDINGS, INC.",YETI Holdings Inc,YETI Holdings Inc
"OCEAN POWER TECHNOLOGIES, INC.",Ocean Power Technologies Inc.,Ocean Power Technologies Inc.
GLADSTONE COMMERCIAL CORPORATION,Gladstone Commercial Corporation,Gladstone Commercial Corporation
"CARLYLE SECURED LENDING, INC.",Carlyle Secured Lending Inc.,Carlyle Secured Lending Inc.
"SCORPIUS HOLDINGS, INC.",Scorpius Holdings Inc.,Scorpius Holdings Inc.
"LOGICMARK, INC.",LogicMark Inc,LogicMark Inc
"THE INTERPUBLIC GROUP OF COMPANIES, INC.",Interpublic Group of Companies Inc. (The),Interpublic Group of Companies Inc. (The)
"AZITRA, INC.",Azitra Inc,Azitra Inc
"ADITXT, INC.","Aditxt, Inc.","Aditxt, Inc."
"UNIVERSAL SECURITY INSTRUMENTS, INC.",Universal Security Instruments Inc.,Universal Security Instruments Inc.
PENNANTPARK FLOATING RATE CAPITAL LTD.,PennantPark Floating Rate Capital Ltd.,PennantPark Floating Rate Capital Ltd.
"NAUTICUS ROBOTICS, INC.","Nauticus Robotics, Inc.","Nauticus Robotics, Inc."
MODIVCARE INC,ModivCare Inc.,ModivCare Inc.
"TEMPEST THERAPEUTICS, INC.","Tempest Therapeutics, Inc.","Tempest Therapeutics, Inc."
AIM IMMUNOTECH INC.,AIM ImmunoTech Inc.,AIM ImmunoTech Inc.
"FORTE BIOSCIENCES, INC.","Forte Biosciences, Inc.","Forte Biosciences, Inc."
"COHERUS BIOSCIENCES, INC.","Coherus Oncology, Inc.",
"SPIRIT AEROSYSTEMS HOLDINGS, INC.",Spirit Aerosystems Holdings Inc.,
MEDIACO HOLDING INC.,Mediaco Holding Inc.,Mediaco Holding Inc.
"FORGE GLOBAL HOLDINGS, INC.","Forge Global Holdings, Inc.","Forge Global Holdings, Inc."
"ZYVERSA THERAPEUTICS, INC.","ZyVersa Therapeutics, Inc.","ZyVersa Therapeutics, Inc."
